id,createdAt,updatedAt,archived,properties.amount,properties.closedate,properties.createdate,properties.dealname,properties.dealstage,properties.hs_lastmodifieddate,properties.hs_object_id,properties.pipeline
189331863792,2025-04-26T10:13:04.516Z,2025-05-12T09:50:29.108Z,False,1000.0,2024-01-03T09:37:11.118Z,2025-04-26T10:13:04.516Z,HubSpot - New Deal (Sample Deal),appointmentscheduled,2025-05-12T09:50:29.108Z,189331863792,default
199283585232,2025-06-23T04:00:00Z,2025-05-12T09:51:01.183Z,False,87215,2025-08-10T04:00:00Z,2025-06-23T04:00:00Z,"Hopkins, Russell and Bolton New Business 3210",presentationscheduled,2025-05-12T09:51:01.183Z,199283585232,default
199283585233,2025-04-24T04:00:00Z,2025-05-06T13:02:19.636Z,False,69092,2025-06-04T04:00:00Z,2025-04-24T04:00:00Z,Schroeder Ltd New Business 2078,appointmentscheduled,2025-05-06T13:02:19.636Z,199283585233,default
199283585234,2025-06-19T04:00:00Z,2025-05-12T09:51:00.476Z,False,84891,2025-07-15T04:00:00Z,2025-06-19T04:00:00Z,Hill Ltd New Business 379,closedwon,2025-05-12T09:51:00.476Z,199283585234,default
199283585235,2025-06-04T04:00:00Z,2025-05-12T09:51:02.544Z,False,86444,2025-07-22T04:00:00Z,2025-06-04T04:00:00Z,"Gomez, Mcpherson and Wu New Business 1270",closedwon,2025-05-12T09:51:02.544Z,199283585235,default
199283585236,2025-04-16T04:00:00Z,2025-05-12T09:51:00.642Z,False,102535,2025-06-01T04:00:00Z,2025-04-16T04:00:00Z,"Brown, Savage and Chandler New Business 4828",closedlost,2025-05-12T09:51:00.642Z,199283585236,default
199283585237,2025-04-12T04:00:00Z,2025-05-06T13:02:18.343Z,False,89491,2025-06-30T04:00:00Z,2025-04-12T04:00:00Z,Lamb Inc New Business 1033,closedlost,2025-05-06T13:02:18.343Z,199283585237,default
199285499113,2025-05-30T04:00:00Z,2025-05-06T13:02:20.026Z,False,61668,2025-07-24T04:00:00Z,2025-05-30T04:00:00Z,"Poole, Thomas and Figueroa New Business 1734",decisionmakerboughtin,2025-05-06T13:02:20.026Z,199285499113,default
199285499114,2025-06-27T04:00:00Z,2025-05-12T09:50:59.501Z,False,69307,2025-08-12T04:00:00Z,2025-06-27T04:00:00Z,Harvey PLC New Business 498,qualifiedtobuy,2025-05-12T09:50:59.501Z,199285499114,default
199285499115,2025-04-08T04:00:00Z,2025-05-06T13:02:19.362Z,False,80078,2025-05-23T04:00:00Z,2025-04-08T04:00:00Z,Myers PLC New Business 457,closedlost,2025-05-06T13:02:19.362Z,199285499115,default
199285499116,2025-04-27T04:00:00Z,2025-05-12T09:51:00.480Z,False,82727,2025-06-14T04:00:00Z,2025-04-27T04:00:00Z,"Hughes, White and Campbell New Business 337",appointmentscheduled,2025-05-12T09:51:00.480Z,199285499116,default
199285499118,2025-06-18T04:00:00Z,2025-05-06T13:03:33.613Z,False,74963,2025-08-27T04:00:00Z,2025-06-18T04:00:00Z,"Stevens, Henderson and Brown New Business 1254",qualifiedtobuy,2025-05-06T13:03:33.613Z,199285499118,default
199285499119,2025-05-31T04:00:00Z,2025-05-06T13:02:20.485Z,False,104674,2025-07-11T04:00:00Z,2025-05-31T04:00:00Z,"Moore, Wilson and Stanley New Business 223",appointmentscheduled,2025-05-06T13:02:20.485Z,199285499119,default
199285499120,2025-04-03T04:00:00Z,2025-05-06T13:02:18.401Z,False,68551,2025-04-20T04:00:00Z,2025-04-03T04:00:00Z,Stone LLC New Business 306,presentationscheduled,2025-05-06T13:02:18.401Z,199285499120,default
199285499121,2025-04-03T04:00:00Z,2025-05-06T13:02:20.428Z,False,85064,2025-05-11T04:00:00Z,2025-04-03T04:00:00Z,Riggs-Hoffman New Business 4226,presentationscheduled,2025-05-06T13:02:20.428Z,199285499121,default
199285499122,2025-06-10T04:00:00Z,2025-05-12T09:51:01.176Z,False,67093,2025-07-19T04:00:00Z,2025-06-10T04:00:00Z,"Cruz, Hunter and Oconnell New Business 2423",closedlost,2025-05-12T09:51:01.176Z,199285499122,default
199285499123,2025-04-19T04:00:00Z,2025-05-12T09:50:59.378Z,False,54613,2025-06-25T04:00:00Z,2025-04-19T04:00:00Z,Huang and Sons New Business 358,closedlost,2025-05-12T09:50:59.378Z,199285499123,default
199285499124,2025-06-20T04:00:00Z,2025-05-06T13:02:18.483Z,False,84073,2025-07-15T04:00:00Z,2025-06-20T04:00:00Z,Schmidt-Harris Expansion 248,closedwon,2025-05-06T13:02:18.483Z,199285499124,default
199285499126,2025-05-23T04:00:00Z,2025-05-12T09:50:59.491Z,False,65759,2025-08-15T04:00:00Z,2025-05-23T04:00:00Z,Jones LLC New Business 498,closedlost,2025-05-12T09:50:59.491Z,199285499126,default
199286375671,2025-04-02T04:00:00Z,2025-05-12T09:51:00.480Z,False,102846,2025-05-25T04:00:00Z,2025-04-02T04:00:00Z,"Jackson, Potts and Fernandez New Business 3706",closedwon,2025-05-12T09:51:00.480Z,199286375671,default
199286375672,2025-06-10T04:00:00Z,2025-05-12T09:51:01.187Z,False,73109,2025-07-12T04:00:00Z,2025-06-10T04:00:00Z,"Grant, Villarreal and Hamilton Expansion 652",closedlost,2025-05-12T09:51:01.187Z,199286375672,default
199286375673,2025-04-13T04:00:00Z,2025-05-06T13:02:20.026Z,False,88648,2025-06-01T04:00:00Z,2025-04-13T04:00:00Z,Lowery Ltd New Business 892,decisionmakerboughtin,2025-05-06T13:02:20.026Z,199286375673,default
199286376634,2025-05-15T04:00:00Z,2025-05-12T09:51:02.544Z,False,97239,2025-06-18T04:00:00Z,2025-05-15T04:00:00Z,Crawford-Michael Renewal 4332,closedwon,2025-05-12T09:51:02.544Z,199286376634,default
199287280834,2025-06-02T04:00:00Z,2025-05-06T13:02:20.026Z,False,78394,2025-07-01T04:00:00Z,2025-06-02T04:00:00Z,Lewis Group New Business 1809,closedlost,2025-05-06T13:02:20.026Z,199287280834,default
199287280835,2025-04-30T04:00:00Z,2025-05-12T09:51:01.417Z,False,80727,2025-06-01T04:00:00Z,2025-04-30T04:00:00Z,"Curtis, George and Smith New Business 3887",appointmentscheduled,2025-05-12T09:51:01.417Z,199287280835,default
199287280836,2025-04-11T04:00:00Z,2025-05-06T13:02:21.412Z,False,73335,2025-05-31T04:00:00Z,2025-04-11T04:00:00Z,"Zhang, Duran and Smith New Business 1870",closedlost,2025-05-06T13:02:21.412Z,199287280836,default
199287280837,2025-06-25T04:00:00Z,2025-05-12T09:51:01.187Z,False,92508,2025-08-15T04:00:00Z,2025-06-25T04:00:00Z,Baker-Herrera New Business 3209,closedlost,2025-05-12T09:51:01.187Z,199287280837,default
199287280838,2025-04-20T04:00:00Z,2025-05-06T13:02:19.586Z,False,70627,2025-06-04T04:00:00Z,2025-04-20T04:00:00Z,Landry Group New Business 938,closedwon,2025-05-06T13:02:19.586Z,199287280838,default
199287280839,2025-04-12T04:00:00Z,2025-05-06T13:02:19.915Z,False,70060,2025-06-04T04:00:00Z,2025-04-12T04:00:00Z,"Mendoza, Roberson and Moore Renewal 961",closedwon,2025-05-06T13:02:19.915Z,199287280839,default
199287280840,2025-04-08T04:00:00Z,2025-05-12T09:51:02.784Z,False,84903,2025-05-19T04:00:00Z,2025-04-08T04:00:00Z,"Blackburn, Brown and Warren New Business 4404",closedlost,2025-05-12T09:51:02.784Z,199287280840,default
199287280841,2025-06-17T04:00:00Z,2025-05-06T13:02:18.452Z,False,90664,2025-08-07T04:00:00Z,2025-06-17T04:00:00Z,Young LLC Renewal 4618,closedwon,2025-05-06T13:02:18.452Z,199287280841,default
199287280842,2025-04-21T04:00:00Z,2025-05-06T13:02:19.216Z,False,83534,2025-06-16T04:00:00Z,2025-04-21T04:00:00Z,Morales-Gibson New Business 794,closedwon,2025-05-06T13:02:19.216Z,199287280842,default
